,Price,Airline,flyTo,cityTo,fare_family,fare_classes,cityFrom,local_departure,local_arrival,distance,bags_price,flight_no
3643,213,['UA'],LGA,New York,,,Chicago,2019-06-09T16:00:00.000Z,2019-06-09T19:13:00.000Z,1178.35,22,639
3644,213,['UA'],LGA,New York,,,Chicago,2019-06-09T17:00:00.000Z,2019-06-09T20:16:00.000Z,1178.35,22,263
3645,213,['NK'],LGA,New York,,H,Chicago,2019-06-09T17:44:00.000Z,2019-06-09T21:00:00.000Z,1178.35,37,630
3646,213,['UA'],LGA,New York,,,Chicago,2019-06-09T11:00:00.000Z,2019-06-09T14:18:00.000Z,1178.35,22,791
3647,246,['DL'],LGA,New York,,,Chicago,2019-06-09T17:30:00.000Z,2019-06-09T20:59:00.000Z,1178.35,25,732
3648,246,['DL'],LGA,New York,,,Chicago,2019-06-09T11:30:00.000Z,2019-06-09T15:02:00.000Z,1178.35,25,2816
3649,249,['DL'],LGA,New York,,,Chicago,2019-06-09T15:30:00.000Z,2019-06-09T19:00:00.000Z,1178.35,25,2511
3650,249,['DL'],LGA,New York,,,Chicago,2019-06-09T13:30:00.000Z,2019-06-09T17:01:00.000Z,1178.35,25,306
3651,249,['DL'],LGA,New York,,,Chicago,2019-06-09T16:30:00.000Z,2019-06-09T20:03:00.000Z,1178.35,25,516
3652,251,['UA'],LGA,New York,,,Chicago,2019-06-09T15:00:00.000Z,2019-06-09T18:11:00.000Z,1178.35,22,1642
3653,251,['UA'],LGA,New York,,,Chicago,2019-06-09T21:05:00.000Z,2019-06-10T00:16:00.000Z,1178.35,22,2422
3654,251,['UA'],LGA,New York,,,Chicago,2019-06-09T19:00:00.000Z,2019-06-09T22:11:00.000Z,1178.35,22,1823
3655,251,['UA'],LGA,New York,,,Chicago,2019-06-09T12:30:00.000Z,2019-06-09T15:42:00.000Z,1178.35,22,5364
3656,251,['UA'],LGA,New York,,,Chicago,2019-06-09T18:00:00.000Z,2019-06-09T21:15:00.000Z,1178.35,22,692
3657,299,['DL'],LGA,New York,,,Chicago,2019-06-09T09:30:00.000Z,2019-06-09T12:58:00.000Z,1178.35,25,313
3658,91,['DL'],LGA,New York,,,Chicago,2019-06-10T12:40:00.000Z,2019-06-10T16:09:00.000Z,1178.35,25,326
3659,106,['DL'],LGA,New York,,,Chicago,2019-06-10T14:40:00.000Z,2019-06-10T18:08:00.000Z,1178.35,25,1214
3660,106,['DL'],LGA,New York,,,Chicago,2019-06-10T17:40:00.000Z,2019-06-10T21:09:00.000Z,1178.35,25,1409
3661,106,['DL'],LGA,New York,,,Chicago,2019-06-10T15:40:00.000Z,2019-06-10T19:10:00.000Z,1178.35,25,2775
3662,106,['DL'],LGA,New York,,,Chicago,2019-06-10T10:40:00.000Z,2019-06-10T14:10:00.000Z,1178.35,25,379
